name,zone,tech,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
cost_hyb_build,1,23,6267964.23285785,6267964.23285785,6267964.23285785,6267964.23285785,6267964.23285785,6267964.23285785,6267964.23285785,6267964.23285785,6267964.23285785,6267964.23285785,6267964.23285785,6267964.23285785,6257349.25125393,6249093.53235618,6200737.14974892,6158278.35704913,5628719.67850718,5425859.93154318,5318532.75158268,5107417.28572092,4964707.4006053,4860918.83127508,4783077.0499912,4721747.55678973,4673391.45761144,4633291.07733091,4600267.35145298,4571961.30070047,4547193.57714927,4485863.80051884,4411560.62986523,4345513.17810938,4287721.72868025
cost_hyb_build,2,23,6269235.73062427,6269235.73062427,6269235.73062427,6269235.73062427,6269235.73062427,6269235.73062427,6269235.73062427,6269235.73062427,6269235.73062427,6269235.73062427,6269235.73062427,6269235.73062427,6258620.74902035,6250365.03012259,6202008.64751534,6159549.85481554,5629991.17627359,5427131.42930959,5319804.2493491,5108688.78348733,4965978.89837172,4862190.32904149,4784348.54775762,4723019.05455615,4674662.95537786,4634562.57509732,4601538.8492194,4573232.79846689,4548465.07491569,4487135.29828526,4412832.12763165,4346784.6758758,4288993.22644667
cost_hyb_build,3,23,6264149.7395586,6264149.7395586,6264149.7395586,6264149.7395586,6264149.7395586,6264149.7395586,6264149.7395586,6264149.7395586,6264149.7395586,6264149.7395586,6264149.7395586,6264149.7395586,6253534.75795468,6245279.03905693,6196922.65644967,6154463.86374987,5624905.18520793,5422045.43824392,5314718.25828343,5103602.79242167,4960892.90730605,4857104.33797582,4779262.55669195,4717933.06349048,4669576.96431219,4629476.58403165,4596452.85815373,4568146.80740122,4543379.08385002,4482049.30721959,4407746.13656598,4341698.68481013,4283907.235381
cost_hyb_build,5,23,6258434.68676187,6258434.68676187,6258434.68676187,6258434.68676187,6258434.68676187,6258434.68676187,6258434.68676187,6258434.68676187,6258434.68676187,6258434.68676187,6258434.68676187,6258434.68676187,6247819.70515795,6239563.9862602,6191207.60365294,6148748.81095314,5619190.13241119,5416330.38544719,5309003.2054867,5097887.73962494,4955177.85450932,4851389.28517909,4773547.50389522,4712218.01069375,4663861.91151546,4623761.53123492,4590737.805357,4562431.75460449,4537664.03105329,4476334.25442286,4402031.08376925,4335983.6320134,4278192.18258427
cost_hyb_build,6,23,6238383.20347695,6238383.20347695,6238383.20347695,6238383.20347695,6238383.20347695,6238383.20347695,6238383.20347695,6238383.20347695,6238383.20347695,6238383.20347695,6238383.20347695,6238383.20347695,6227768.22187303,6219512.50297528,6171156.12036802,6128697.32766822,5599138.64912627,5396278.90216227,5288951.72220177,5077836.25634001,4935126.3712244,4831337.80189417,4753496.0206103,4692166.52740883,4643810.42823054,4603710.04795,4570686.32207208,4542380.27131957,4517612.54776837,4456282.77113794,4381979.60048433,4315932.14872848,4258140.69929935
cost_hyb_build,7,23,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6239211.71062794,6230955.99173019,6182599.60912293,6140140.81642313,5610582.13788118,5407722.39091718,5300395.21095668,5089279.74509493,4946569.85997931,4842781.29064908,4764939.50936521,4703610.01616374,4655253.91698545,4615153.53670491,4582129.81082699,4553823.76007448,4529056.03652328,4467726.25989285,4393423.08923924,4327375.63748339,4269584.18805426
cost_hyb_build,8,23,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6249826.69223186,6239211.71062794,6230955.99173019,6182599.60912293,6140140.81642313,5610582.13788118,5407722.39091718,5300395.21095668,5089279.74509493,4946569.85997931,4842781.29064908,4764939.50936521,4703610.01616374,4655253.91698545,4615153.53670491,4582129.81082699,4553823.76007448,4529056.03652328,4467726.25989285,4393423.08923924,4327375.63748339,4269584.18805426
cost_hyb_build,9,23,6275650.67582189,6275650.67582189,6275650.67582189,6275650.67582189,6275650.67582189,6275650.67582189,6275650.67582189,6275650.67582189,6275650.67582189,6275650.67582189,6275650.67582189,6275650.67582189,6265035.69421797,6256779.97532022,6208423.59271296,6165964.80001316,5636406.12147122,5433546.37450721,5326219.19454672,5115103.72868496,4972393.84356934,4868605.27423911,4790763.49295524,4729433.99975377,4681077.90057548,4640977.52029494,4607953.79441702,4579647.74366451,4554880.02011331,4493550.24348288,4419247.07282927,4353199.62107342,4295408.17164429
cost_hyb_build,10,23,6233746.77503583,6233746.77503583,6233746.77503583,6233746.77503583,6233746.77503583,6233746.77503583,6233746.77503583,6233746.77503583,6233746.77503583,6233746.77503583,6233746.77503583,6233746.77503583,6223131.79343191,6214876.07453416,6166519.6919269,6124060.8992271,5594502.22068516,5391642.47372115,5284315.29376066,5073199.8278989,4930489.94278328,4826701.37345305,4748859.59216918,4687530.09896771,4639173.99978942,4599073.61950888,4566049.89363096,4537743.84287845,4512976.11932725,4451646.34269682,4377343.17204321,4311295.72028736,4253504.27085823
cost_hyb_build,11,23,6266495.88481796,6266495.88481796,6266495.88481796,6266495.88481796,6266495.88481796,6266495.88481796,6266495.88481796,6266495.88481796,6266495.88481796,6266495.88481796,6266495.88481796,6266495.88481796,6255880.90321405,6247625.18431629,6199268.80170903,6156810.00900924,5627251.33046729,5424391.58350329,5317064.40354279,5105948.93768103,4963239.05256541,4859450.48323519,4781608.70195131,4720279.20874984,4671923.10957155,4631822.72929102,4598799.00341309,4570492.95266058,4545725.22910938,4484395.45247895,4410092.28182534,4344044.83006949,4286253.38064036
